sentence,sentiment
各位大腕演技都没问题，但剧情确实不是我的菜,0
厨子戏子痞子就是个抗日神剧，前半段靠抖机灵来吸引人，可是后半段的意淫加主旋律也忒倒胃口了。,0
整个电影看下来人就一直在出戏中。,0
火华社长还是继续在微博卖萌吧，黄渤跳艳舞太乐呵了'挡不住的贱劲儿啊！,0
此片三星。,0
虽然北京遇上西雅图硬伤也很多，但是若要看第二遍的话还会选择看个温情的美女大叔戏,1
看过《厨子戏子痞子》：斗牛 杀生到这部 一部不如一部  很难找到像这样每个角色都让人恶心的电影  和那些抗日神剧有什么区别  管虎一头钻进风格化的眼子里爬不出来了  可风格化真不是飚飚血 说两句脏话 再加点另类叙事那么简单 ★ http://t.cn/zO0koc,0
厨子戏子痞子这部烂片千万别看啊，虽然我身后有几个傻女生都要笑抽了，但整部片子我基本连嘴角都没咧一下。,0
真的不好笑，情节也烂到爆，很有几分抗日神剧的风彩。,0
你要非去，别说我没提醒你喽。,0
相对来说，魔境仙踪都比它强多了…,0
太雷了，一壮士拿着一把弓箭逼退一群手拿机枪的日本兵。,0
前两天刚在微博上看到，方才踏进麻辣烫的馆子，电视里正放这个，老板在一旁看得入神，嘴里还不住啧啧称赞。,1
我一口老血差点喷了出来，感冒也好了大半。,1
这个没有逻辑的社会#抗日神剧箭在弦上,0
copy  assassion's creed的主角造型就够雷人的，还出现了透甲箭。。。,0
国产抗日神剧炫酷狂,0
#厨子戏子痞子#非常精彩，巧妙的闪回，环环相扣，紧张的节奏，电影的结构和细节都很好。,1
而缺憾是高潮就开始抗日神剧的味道，不真实，如果是悲剧结局可能更好。,0
人物出场之后对于民族劣根的讽刺非常到位，可见中国不缺好导演，缺的是审查制度的自由。,0
贵州台的抗日神剧实在是没法看了,0
请方家指教），大皮靴，机车手套，姐姐，你们是去打仗，还是去玩制服诱惑的,0
#抗日神剧# 拿人当猴耍，这样的编剧很傻逼，就这一句话。,0
吴奇隆曝新照的这张剧照英姿飒爽呢，这身打扮就像拍的时装片，确实很帅。,1
但愿这部片子上映后不要被喷为如同手撕鬼子般的抗日神剧啊,1
抗日神剧之所以是神剧 不是神剧本身之神，而是编剧之神，导演更神,0
这抗日神剧，连海报都让人无力吐槽…,0
#厨·戏·痞#这几天看影评就发现此片评价相当两极化~前三十分钟，舞台感十足，相当的cult，尤其某人的一段艳舞可圈可点，就当期待其带来更大惊喜时，就转身一变，成了电影版的各种抗日神剧，风格各种杂糅，剧情各种巧合，技能各种强大....恩，吐槽星人表示已阵亡..,0
#抗日神剧# 只能对这部神剧的编辑感到无语，意淫的厉害啊。。。。。。。。。。,0
其实片子还挺好玩，就是好好的喜剧，临了来个青春纪实的怀旧，立意是丰富了，没流于抗日神剧，但我还是出戏了。,0
没搞懂了变绿的家伙，仨假稽查队员的戏剧作用也虎头蛇尾,0
不一样的抗日神剧，好看！,1
人民日报刊文批抗日神剧：义和团旧梦重圆  http://t.cn/zTwqMb2 写得很好哎~现在连续剧许多题材都是过度消费，谄媚市场的狗血暴力题材加了个抗日的马甲而已,0
看过《厨子戏子痞子》：随便碰上正点的电影，据称刘火华等三影帝凑一块的抗日神剧，意外的好看。,1
本来当喜剧围观结果哭哭啼啼成杯具了。,1
张涵予和梁静的表演是亮点，黄渤的舞姿真让人着迷啊。,1
#抗日神剧# 抗日剧拍的太多了，经常一个电视剧几个台都在播，完全已经审美疲劳了，现在早就对抗日剧免疫了 详情:http://t.cn/zTzUP1,0
雷你到焦的抗日神剧，周末电影本是冲着黄渤看个高兴去的，没想到遇到雷人的编剧，什么都感拍的导演，整个一舞台情景剧，抗日英雄不仅武艺高强，而且毕业名牌大学，我勒个去。,0
抗日神剧《箭在弦上》真是中国影视剧中的一朵奇葩！,0
尽管多年来已经习惯了抗日题材中的各种盖世神功，雷人桥段。,1
在这朵奇葩面前仍然被雷得外焦里嫩，体无完肤,0
要正确看待中国当代史 就不能看国内的教材 那就跟抗日神剧一样 写满了谎,0
雷你到焦的抗日神剧，周末电影本是冲着黄渤看个高兴去的，没想到遇到雷人的编剧，什么都感拍的导演，整个一舞台情景剧，抗日英雄不仅武艺高强，而且毕业名牌大学，我勒个去。,0
#厨子 戏子 痞子# 前十分钟觉得真难看，后面完全颠覆。,0
虽然觉得剧情有惊喜 略屌。,0
不过还是有抗日神剧的感觉，完全把日本人当猴耍,0
晚上和好友看《厨戏痞》，先以为是闹剧，然后是正剧，然后是悲剧，最后发现是回忆校园青春的，很棒的故事，比起抗日神剧这电影的编剧简直就是神人，匪夷所思的故事，但是讲的很好，演员的表演真心赞一个，这票价值了,1
坑爹的抗日神剧，亲，找找茬呗。,0
看过《厨子戏子痞子》：【从电影看】及格，没有预想的好，可能是为了摆脱那个好多好多局的审查，妥协，以至于开头我一直害怕是抗日神剧。,0
演员，甚至于配角都不输西游降魔，每张脸都配得上得梵高的画笔。,1
相声，意料之外，逻辑之中。,1
空间，还赶不上电话狙击那.. ★★★★ http://t.cn/zO0koc,0
【抗日神剧再现！,0
】这奇葩电视剧，毁三观啊！,0
表情太特么亮了。。。。,0
「厨子戏子痞子」，一部硬伤累累荒诞不经的影片，一部堪比前些天出名的那烈女杀敌的抗日神剧看得出来编导是想探索一条与众不同的轻喜剧路线，可惜哪哪都只有半吊子水准，真是浪费了几个好演员王长田投拍，黄渤工作室参拍，同样是小成本制作比「泰囧」差太远！,0
厨戏痞不错，票房破五亿应该没问题。,1
管虎是个靠谱的导演，刘烨、黄渤、张函语、梁静是靠谱的演员。,1
当然，挑剔点说这也算是一部抗日神剧,0
人民日报批抗日神剧 商业投机蚕食良心-评论频道-和讯网 http://t.cn/zTZNOrN   这些编剧也确实很无语，拿抗日题材的电视剧这么拍法！,0
看过一两个镜头，一点兴趣都没有！,0
太夸张了,0
厨子戏子痞子，一部略显高级的无厘头抗日神剧，各种无语。。。。,0
长亭外古道边芳草碧连天 虽然有抗日神剧的嫌疑但是厨子戏子痞子确实拍的不错 刘烨黄渤张函予三个影帝级的演技真的赞爆 笑点不是卖点 如果看得懂的话就明白这部电影像黄金大劫案一样给予的感动是无形的 正如电影最后花絮所说 我们相比那个时代的人缺点什么 比如信仰.值得一看#厨子戏子痞子,1
#抗日神剧# 导演编剧能怎么扯淡就使出力气扯，加个爱情偶像武侠，鬼子从来都是智商低下，剧里穿的和服做床单都嫌寒碜，日本的配乐从来都是樱花，电视剧的名字更血腥，有个就叫一个鬼子都不留，沉重历史变成娱乐大众的桥段，愤怒到扭曲境界的抗日情怀。,0
#抗日神剧# 如今有记忆的靠谱抗日电视剧还是老版《亮剑》，用抗日来挣钱，许多编剧的良心真的让狗吃了。,0
现在这些抗日神剧，直看到恶心，真不知道那些编剧、导演脑子里装的都是啥东西,0
一排16座，最后一张票，这破位置，悲催！,0
电影很好看，但让我想到了#抗日神剧#的话,1
看过《厨子戏子痞子》：影片风格比较另类，向儿时的记忆致敬。,1
但情节较嘈杂、混乱。,0
没有想象中的搞笑，充其量依旧是一部大制作的“抗日神剧”，看着欢乐，别认真，认真你就输了。,0
抗日神剧《一个鬼子都不留》，一个杀猪的，一个打把式卖艺的，一个伪军，杀得日本鬼子成批over，这样的抗战，让人叹为观止啊，过分的贬低敌人，会不会让你觉得8年抗战有点游戏成分,0
人民日报批抗日神剧罔顾理性 雷人桥段层出不穷 一段时间以来，如此种种“神奇”的镜头接二连三出现在抗日题材电视剧中，已经成为电视荧幕上“一道亮丽的风景线”。,0
戏称此类作品为“抗日神剧”，调侃道，“鬼子坚持了八年真不容易” - 娱乐八卦 - OnCity中山最具影响力的网络社区 http://t.cn/zTZaJe,0
#优朋问候#最近抗日神剧因剧情雷人，篡改历史遭到人民日报的批评。,0
优朋互联网电视带您看点抗日历史，电影《喋血孤城》剧情绝对靠谱。,1
【人民日报刊文批抗日神剧：义和团旧梦终于重圆】现如今，抗日题材电视剧悄然卸下了宣传教育的“包袱”，变为纯粹的娱乐品，自是有它的内在逻辑。,0
但这种“自我解放”也确实够“彻底”的，连基本的公共理性也置之不顾，血肉之躯铸就的抗战精神在“神剧” http://t.cn/zTZGtb,0
八路军就是强大！,1
"//#我在看新闻#《人民日报批""抗日神剧""似义和团》 电视剧不必是教科书，但一定不能是罔顾公共理性的反面教材。",0
看见人民日报登文批了那些抗日神剧，什么徒手撕鬼子的，本人一个90后，小时候经常看抗日片子，在我的脑袋里小时候的那些才叫抗日片，那些战士才叫抗日英雄！,1
如今这些所谓的抗日片我觉得只有白痴才会去看！,0
这些所谓的抗日片简直就是对先烈的侮辱！,0
看一眼我都觉得是对我眼睛的侮辱啊,0
#抗日神剧# 呵呵，打鬼子，解气，没什么呀， 就是有些导演逻辑性太差，基本的常识没有，可悲， 详情:http://t.cn/zTzUP1,0
#抗日神剧# 胡编滥造，我们从不看这类电视剧！,0
相比之下我们这个民主显得一点都不成熟，甚至幼稚，我们应该做的是保留对这份历史的敬畏与尊重，这是我们认识世界走向自信与成熟不可或缺的。,0
箭在弦上又是一部抗日神剧啊，不仅是在侮辱观众的智商也是在侮辱先烈们的智商啊。,0
中国这些编剧碉堡,0
既 抗日奇侠 又一部神剧 华妃娘娘主演 箭在弦上 毁三观  无力吐槽 我觉得我的历史老师 物理老师死的早,0
#厨子戏子痞子#这片现在看来，跟抗日神剧差不多一个水平,0
没让人失望，管虎一贯的个性风格在延续，三大影帝同台飙戏各有出彩，黄渤的艳舞一出，全场笑翻！,1
不过后半段转为抗日神剧后有点说书。。。,0
不剧透，但PS：整部片子的精华，其实在落幕后的花絮，真的,1
分享新闻：人民日报刊文批抗日神剧：义和团旧梦重圆 http://t.cn/zTzhjQ1  人民日报终于看不下去了。,0
如今的电视剧都在为了娱乐大众而娱乐，价值观和节操已经卖不了几个钱了。,0
对于审美观扭曲的中国人来说，这抗日神剧真是不可多得的好剧啊,0
缺心眼的编剧，脑残的导演，眼瞎的审核员…导致文化杀手肆虐。,0
珍爱生命，远离国产剧。,0
想着吐槽刚看到的某神剧，结果吧里就有这帖子了....尼玛最近的抗日剧怎么都这么科幻啊我擦.......挺严肃的一事儿，我看着笑个不停啊.....,0
真是的，现在电视剧为了追求商业利益或者其他的什么，真是“用心良苦，不择手段”，让观众一看就很假，已没有了那种“真实给人带来的那种感动”。,0
//#即刻新闻#:「 人民日报：“抗日神剧”别把观众当傻瓜 」http://t.cn/zTzzwo,0
满电视都是抗日神剧，这种把国难改编成武侠剧的烂片，是对历史的极其不尊重。,0
这些编剧导演脑袋里装的是粪还是天生弱智,0
看了《厨子戏子痞子》，比较失望，影片前半部分角色丑陋的扮相奇葩的台词过高的语速让我感到很不适，后半部分又出现众多和抗日神剧一样一把狙击枪扫平半支队伍的镜头。。。,0
总的来说这电影就一个字：“作”,0
#抗日神剧# 抗日的电视剧，有些确实太夸张了点。,0
抗日神剧雅典娜女神真是无法直视，尼玛人名不好好叫，都是一个字一个字的，什么彻，东，夏，真想在后面再加个字：艹,0
厨子戏子痞子：上部分是煞笔闹剧，为了达到劣质商业片低俗趣味；中部分是抗日神剧，为了向横店鬼子剧组致敬；下部分是煽情的＂闯关东＂，为了过审。,0
这片子完全是剪辑和后期制作撑起来的，管虎这次是真堕落了。,0
好失望。,0
人民日报痛批抗日神剧，批得好。,1
不负责任的编剧写出不客观的历史剧，毫无素质。,0
我们常骂日本人不尊重历史事实，但看看越拍越雷的抗日剧，我们尊重历史了吗,0
#抗日神剧# 还是亮剑好看！！！！！！,1
老的那版。,1
#我有话说#【人民日报刊文批抗日神剧：义和团旧梦重圆】 问题是教科书也不真啊！！,0
#抗日神剧# 现在的电视剧，是越来越没有节操。,0
古装片，中国功夫都可以超越飞机大炮了；爱情片，误导青少年；抗日剧，中国人和神一样，日本人和傻子一样。,0
所以我直接忽略中国电视剧，基本不看,0
这些日子看＜冬至＞还有以前看过的＜黑洞＞，一直觉得管虎是一位个性十足的导演，尤其是在结构的把握上构思奇巧又张力十足，今天看＜厨子戏子痞子＞这种感觉到了极致，他的风格愈见成熟了，看到片尾发现影片真有其人时还是小感动了一把，另外觉得黄渤的肢体真是吃遍天，原来抗日神剧也可以拍出模样来,1
＜厨子戏子痞子＞张涵予man、黄渤艳舞亮瞎、火华哥长发飘飘挺戳。,1
戏中有戏，抗日神剧。,0
#厨子戏子痞子#：抗日雷人神剧。,0
剧情无趣，失望,0
#抗日神剧# 真荒唐 详情:http://t.cn/zTzUP1,0
猎鹰1973这个电视剧也很假 《人民日报刊文批抗日神剧》 (来自 @头条新闻) http://t.cn/zTzhjQ,0
人民日报偶然还是干点正常事 《人民日报刊文批抗日神剧》 (来自 @头条新闻) http://t.cn/zTzhjQ,1
#抗日神剧# 至少应该真实地表现国军那时的状态吧。,0
这些二B编剧都脑瘫了，白痴。,0
【人民日报刊文批抗日神剧】2b剧组该反省了，我觉得批得还不够狠，无知虽可怕，更可怕的是为了追逐名利而不顾一切的这群人，文化产业大发展中孕育的超级奇葩 http://t.cn/zTzhYsr (@掌中新浪,0
#抗日神剧# 上回偶然撇了眼正在热播的《女子别动队》（好像是这片名），我惊呼那些个女战士的怎么都非主流打扮啊，化个烟熏妆，弄个如今90后的发型，还有个发型像新版红楼梦里的…… 详情:http://t.cn/zTzUP1,0
种种抗日神剧真的拿抗战历史、拿国人的智商开玩笑了！,0
此类作品的导演能不能尊重一下历史、尊重一下实际、能不能拿点别的素材开玩笑呢？,0
虽然那些剧是比较脑残，但看个电视剧都必须又教育又批判的去看，好像更是有病！,0
写的不错～ @mark 《人民日报刊文批抗日神剧》 (来自 @头条新闻) http://t.cn/zTzhjQ,1
所拍情景与事实恰恰相反，夸大事实，抬高自己，害国害民。,0
我只看过二个鬼子可以把几百老百姓象赶畜牲一样赶在一起。,0
#抗日神剧# 严重支持人民日报观点，早几年就厌恶了那些严重夸张、不客观的抗日神剧了，虽然我每过一段时间都要下载那些烂片给我妈看 详情:http://t.cn/zTzUP1,0
至于手法有点过于夸张，那也是有情可原的，总比那些歪曲历史的要好很多吧?,0
#抗日神剧# 作品质量不高是要害。,0
（虎口脱险就是抗纳 粹喜剧） 历史剧吧这个帖子里讲得不错http://t.cn/zTzbyoz 详情:http://t.cn/zTzUP1,1
